method,gate_count,seed_count,status,success_rate,collision_rate,progress_distance_m_mean,path_length_m_mean,path_length_m_mean_n,flight_time_s_mean,mean_speed_mps_mean,mean_speed_mps_mean_n,min_clearance_m_mean,min_clearance_m_mean_n,dynamic_swept_collision_count_mean,dynamic_swept_collision_count_mean_n,moving_gate_swept_clearance_m_min_mean
informed_rrt_star,6,10,planner_baseline,0.2,0.4,21.642706236384658,22.715000000000057,10,32.21,2.0999999999999996,10,1.3582203223154277,10,,0,1.3582203223154277
heuristic,6,10,planner_baseline,0.6,0.3,38.67717163998327,69.54499999999979,10,26.3,3.150000000000001,10,0.8167632322643352,10,,0,0.8167632322643351
ego_planner,6,10,planner_baseline,0.3,0.7,36.16304532691999,36.5400000000001,10,10.44,3.5000000000000004,10,0.07203045007292933,10,,0,0.07203045007292933
fast_planner,6,10,planner_baseline,0.2,0.8,32.10047470072382,32.34000000000008,10,9.239999999999998,3.4999999999999996,10,-0.02408207688815948,10,,0,-0.024082076888159488
ours_mainline,12,10,passed,1.0,0.0,53.44795792063758,58.549914358823145,10,28.700000000000006,2.0640127161392217,10,0.12896134577870008,10,0.0,10,0.12837497535839557
astar,12,10,planner_baseline,0.6,0.4,42.57797950015423,44.80000000000011,10,12.8,3.5,10,0.3359489912177007,10,,0,0.3359489912177007
theta_star,12,10,planner_baseline,0.6,0.4,43.865738441522396,45.675000000000104,10,13.05,3.500000000000001,10,0.26416114977876926,10,,0,0.2641611497787693
rrt_star,12,10,planner_baseline,0.0,0.1,2.1317209945403794,2.205,10,58.5,0.3499999999999999,10,3.352739230750639,10,,0,3.3527392307506387
informed_rrt_star,12,10,planner_baseline,0.0,0.0,0.0,0.0,10,64.29999999999998,0.0,10,3.7258093566226496,10,,0,3.725809356622649
heuristic,12,10,planner_baseline,0.4,0.5,32.69897277260865,67.75999999999982,10,25.790000000000003,3.1500000000000004,10,0.3563278426307348,10,,0,0.3563278426307348
ego_planner,12,10,planner_baseline,0.1,0.9,25.62151761028259,26.005000000000052,10,7.4300000000000015,3.4999999999999987,10,0.005135193889212136,10,,0,0.005135193889212136
